hitter_archetype,player_seasons
Low-skill offensive profile,1316
Contact-discipline hitter,1025
Power hitter,841
Chase-contact hitter,802
Power with swing-and-miss,771
Complete hitter,263
Average contact-control hitter,214
Average regular profile,168
Balanced power-contact hitter,116
Average power-leaning hitter,83
Speed-defense specialist,42
