broad_archetype_tuned,player_seasons,share
Complete,263,0.04662293919517816
Power-based,1612,0.28576493529516045
Contact/discipline-based,1827,0.3238787449033859
Middle-profile,581,0.10299592270873958
Low offensive profile,1316,0.2332919695089523
NA,42,0.007445488388583585
