age_plot,age_group_label,player_seasons,unique_players,avg_pa,avg_xwoba,avg_ev_p90,avg_chase_rate,avg_whiff_rate,avg_zone_contact_rate
22,22 and under,182,137,856.0824175824176,0.3009504120282439,101.80637362637363,0.2962967013011556,0.25133602895600893,0.8351189735901487
23,23,221,221,991.6244343891403,0.2955083665272938,101.6247963800905,0.2935200319077522,0.25088016656887835,0.8370275573872203
24,24,398,398,989.3969849246232,0.3015885214853496,101.84515075376885,0.2932194345230312,0.25992166007209705,0.8294892907855635
25,25,526,526,1057.5323193916356,0.2976823212721127,101.50562737642585,0.28834376005381834,0.2530601388482665,0.8331433273452112
26,26,605,605,1033.6396694214873,0.29820754117223464,101.45323966942149,0.2901742131929661,0.2522675383552395,0.8355836430951719
27,27,616,616,1075.75,0.29794454705057444,101.5048051948052,0.28930104151722613,0.25296002989051247,0.8370310223844626
28,28,577,577,1080.3032928942805,0.2992637274292536,101.5333102253033,0.2863811444655243,0.24859260763369823,0.8401859889019399
29,29,506,506,1154.152173913043,0.30247914715249863,101.47330039525691,0.28376764638645924,0.24436207820448064,0.8396531598590772
30,30,417,417,1237.0383693045562,0.3109362933155191,101.65093525179856,0.2841781506896999,0.2439320398400321,0.8398812815921697
31,31,379,379,1238.4511873350923,0.3074520094129472,101.56775725593667,0.2805414192676231,0.2417051491626423,0.844321619597756
32,32,346,346,1209.3323699421967,0.302561957558872,101.42583815028902,0.27733408688922007,0.2370598066393148,0.8464032049873104
33,33,269,269,1202.0260223048333,0.3058879266054671,101.35282527881041,0.2757037088967913,0.23522889344347345,0.8481956016471927
34,34,220,220,1153.3954545454549,0.30342649480730294,100.94886363636364,0.2737977439212038,0.23454653657159594,0.8458080631893679
35,35,144,144,1184.6597222222222,0.3060124046586087,101.20604166666666,0.2657572874938512,0.22713917339736137,0.8488657749356125
36,36,92,92,1194.6739130434785,0.3039052375433662,101.31260869565217,0.2798710613347522,0.22648462715833062,0.8534482478938235
37,37,58,58,1269.1379310344828,0.30826854808053444,101.385,0.27325854906776714,0.2356830381018567,0.8432464246391926
38,38,40,40,1169.975,0.2978807984535564,101.16175,0.2797255687707633,0.24215277077389907,0.8436928749524152
39,39,18,18,1258.7777777777778,0.30809853254286235,101.20166666666667,0.30036808048298813,0.22848480721446796,0.8535036344776594
40,40+,27,17,1210.8148148148148,0.3095000612764109,101.55592592592592,0.30847794783546995,0.22008465047178488,0.8611748311376449
