broad_archetype_tuned,player_seasons,players,avg_age,avg_pa,avg_xwoba,avg_ev_p90,avg_chase_rate,avg_whiff_rate,avg_zone_contact_rate
Complete,263,144,28.988593155893547,1777.0152091254754,0.36374241775632643,104.26049429657795,0.252619642748503,0.18642776166640057,0.887440859039591
Power-based,1612,614,28.353598014888327,1366.0037220843683,0.3369982654384153,104.36387096774193,0.278231733188837,0.2793047347981209,0.8122350871100164
Contact/discipline-based,1827,700,28.8210180623974,1124.71154898741,0.2943385450985008,99.731986863711,0.2828891031846129,0.18310380858799402,0.8843798928961664
Middle-profile,581,410,28.292598967297774,933.5197934595524,0.28651413089069294,100.41006884681583,0.25208845173654304,0.2514277832406307,0.8347997536383774
Low offensive profile,1316,742,28.003799392097243,702.8890577507594,0.2634187655673335,100.41756838905775,0.31963622814368314,0.3042130245724485,0.802959480436253
NA,42,34,27.428571428571427,1565.9285714285713,0.2908977934826428,100.73476190476191,0.2581264067231535,0.24364333431831528,0.8402758966183544
