term,estimate,std.error,statistic,p.value,conf.low,conf.high
broad_archetype_tunedLow offensive profile,113270614.9936616,257.0040904738908,0.07215951428016258,0.9424749640678697,4142570294816513e64,5051645687030395e40
broad_archetype_tunedMiddle-profile,75870437.07068504,257.0040759230276,0.07060019419114572,0.9437159558579666,12288699726513067e71,9315377849605375e76
broad_archetype_tunedContact/discipline-based,8760223.229049474,257.00406171807134,0.06220030858069531,0.9504033167556662,7381244867478277e80,442590692186539e93
broad_archetype_tunedPower-based,3979040.895445485,257.0040691111467,0.05912961386072107,0.9528488714506483,7351483671480602e69,11931284690881036e73
ev_p90_5,1.8251752918760287,0.10691319104769635,5.627706243437485,1.8262174681679084e-8,1.481495263668148,2.2530377406559974
pa_bucket600+ PA,1.2762628825757345,0.18761399711345425,1.30020248107121,0.19353158051234476,0.8896878278250059,1.858419971160487
xwoba_050,1.2754375893175391,0.06535427600646244,3.7226229391945242,1.9716385377638597e-4,1.1222139461429808,1.4499448658142038
pa_bucket400-599 PA,1.108021904617477,0.20876265585895096,0.4913539599215547,0.6231761213379106,0.7387902068730391,1.6767667517086822
age_centered_sq,0.9989031499292058,0.002584346825388953,-0.42465354892769347,0.6710892505278658,0.9937298352220224,1.0038575655058812
pa_bucket200-399 PA,0.9927080322448283,0.19944122175656984,-0.03669594501745855,0.9707274418745149,0.6748172453694771,1.476640423110531
age_centered,0.9335293082863032,0.012509208879643349,-5.498582766194541,3.828558302551988e-8,0.910855280293828,0.9566600629104733
whiff_10,0.527194162154806,0.1027020785532182,-6.233431476522036,4.56327013272737e-10,0.4304693359657081,0.643913633326719
(Intercept),3.687221699657524e-14,257.01247855037667,-0.12034947963943046,0.9042063098302592,6.208640153311621e-116,1.033313980929822e-103
