broad_archetype_tuned,Same archetype,Downgraded archetype,Reduced/limited role,Exited MLB,Upgraded archetype
Complete,0.31004366812227074,0.5589519650655022,0.008733624454148471,0.1222707423580786,0
Contact/discipline-based,0.4951219512195122,0.12804878048780488,0.06402439024390244,0.23109756097560977,0.08170731707317073
Low offensive profile,0.2935153583617747,0,0.13054607508532423,0.25341296928327645,0.3225255972696246
Middle-profile,0.1717902350813743,0.162748643761302,0.09584086799276673,0.23508137432188064,0.3345388788426763
Power-based,0.48686030428769017,0.2544951590594744,0.04979253112033195,0.16113416320885202,0.04771784232365145
