age_plot,age_group,from,to,archetype_movement,n,transition_share,small_cell
35,35,Middle-profile,Low offensive profile,Downgraded archetype,2,0.6666666666666666,TRUE
35,35,Power-based,Complete,Upgraded archetype,3,0.11538461538461539,FALSE
35,35,Power-based,Contact/discipline-based,Downgraded archetype,2,0.07692307692307693,FALSE
35,35,Power-based,Low offensive profile,Downgraded archetype,2,0.07692307692307693,FALSE
35,35,Power-based,Middle-profile,Downgraded archetype,1,0.038461538461538464,FALSE
35,35,Power-based,Power-based,Same archetype,18,0.6923076923076923,FALSE
36,36,Complete,Complete,Same archetype,1,0.14285714285714285,TRUE
36,36,Complete,Contact/discipline-based,Downgraded archetype,3,0.42857142857142855,TRUE
36,36,Complete,Middle-profile,Downgraded archetype,1,0.14285714285714285,TRUE
36,36,Complete,Power-based,Downgraded archetype,2,0.2857142857142857,TRUE
36,36,Contact/discipline-based,Complete,Upgraded archetype,1,0.0625,FALSE
36,36,Contact/discipline-based,Contact/discipline-based,Same archetype,11,0.6875,FALSE
36,36,Contact/discipline-based,Low offensive profile,Downgraded archetype,2,0.125,FALSE
36,36,Contact/discipline-based,Middle-profile,Downgraded archetype,1,0.0625,FALSE
36,36,Contact/discipline-based,Power-based,Upgraded archetype,1,0.0625,FALSE
36,36,Low offensive profile,Low offensive profile,Same archetype,4,0.6666666666666666,TRUE
36,36,Low offensive profile,Middle-profile,Upgraded archetype,1,0.16666666666666666,TRUE
36,36,Low offensive profile,Reduced/limited role,Reduced/limited role,1,0.16666666666666666,TRUE
36,36,Middle-profile,Contact/discipline-based,Upgraded archetype,2,0.6666666666666666,TRUE
36,36,Middle-profile,Power-based,Upgraded archetype,1,0.3333333333333333,TRUE
36,36,Power-based,Contact/discipline-based,Downgraded archetype,1,0.07142857142857142,FALSE
36,36,Power-based,Low offensive profile,Downgraded archetype,1,0.07142857142857142,FALSE
36,36,Power-based,Middle-profile,Downgraded archetype,1,0.07142857142857142,FALSE
36,36,Power-based,Power-based,Same archetype,11,0.7857142857142857,FALSE
37,37,Complete,Complete,Same archetype,1,0.3333333333333333,TRUE
37,37,Complete,Contact/discipline-based,Downgraded archetype,1,0.3333333333333333,TRUE
37,37,Complete,Middle-profile,Downgraded archetype,1,0.3333333333333333,TRUE
37,37,Contact/discipline-based,Complete,Upgraded archetype,1,0.09090909090909091,FALSE
37,37,Contact/discipline-based,Contact/discipline-based,Same archetype,6,0.5454545454545454,FALSE
37,37,Contact/discipline-based,Low offensive profile,Downgraded archetype,1,0.09090909090909091,FALSE
37,37,Contact/discipline-based,Middle-profile,Downgraded archetype,2,0.18181818181818182,FALSE
37,37,Contact/discipline-based,Power-based,Upgraded archetype,1,0.09090909090909091,FALSE
37,37,Low offensive profile,Low offensive profile,Same archetype,3,1,TRUE
37,37,Middle-profile,Contact/discipline-based,Upgraded archetype,1,0.3333333333333333,TRUE
37,37,Middle-profile,Low offensive profile,Downgraded archetype,1,0.3333333333333333,TRUE
37,37,Middle-profile,Power-based,Upgraded archetype,1,0.3333333333333333,TRUE
37,37,Power-based,Complete,Upgraded archetype,1,0.1,FALSE
37,37,Power-based,Contact/discipline-based,Downgraded archetype,1,0.1,FALSE
37,37,Power-based,Low offensive profile,Downgraded archetype,1,0.1,FALSE
37,37,Power-based,Middle-profile,Downgraded archetype,1,0.1,FALSE
37,37,Power-based,Power-based,Same archetype,6,0.6,FALSE
38,38,Complete,Contact/discipline-based,Downgraded archetype,3,0.75,TRUE
38,38,Complete,Power-based,Downgraded archetype,1,0.25,TRUE
38,38,Contact/discipline-based,Contact/discipline-based,Same archetype,5,1,TRUE
38,38,Low offensive profile,Contact/discipline-based,Upgraded archetype,1,0.25,TRUE
38,38,Low offensive profile,Low offensive profile,Same archetype,2,0.5,TRUE
38,38,Low offensive profile,Power-based,Upgraded archetype,1,0.25,TRUE
38,38,Power-based,Low offensive profile,Downgraded archetype,1,0.25,TRUE
38,38,Power-based,Middle-profile,Downgraded archetype,1,0.25,TRUE
38,38,Power-based,Power-based,Same archetype,2,0.5,TRUE
39,39,Contact/discipline-based,Contact/discipline-based,Same archetype,5,1,TRUE
39,39,Low offensive profile,Low offensive profile,Same archetype,1,1,TRUE
39,39,Middle-profile,Middle-profile,Same archetype,1,1,TRUE
39,39,Power-based,Contact/discipline-based,Downgraded archetype,1,0.3333333333333333,TRUE
39,39,Power-based,Middle-profile,Downgraded archetype,1,0.3333333333333333,TRUE
39,39,Power-based,Power-based,Same archetype,1,0.3333333333333333,TRUE
40,40+,Complete,Complete,Same archetype,1,1,TRUE
40,40+,Contact/discipline-based,Complete,Upgraded archetype,1,0.25,TRUE
40,40+,Contact/discipline-based,Contact/discipline-based,Same archetype,3,0.75,TRUE
40,40+,Power-based,Complete,Upgraded archetype,1,0.2,TRUE
40,40+,Power-based,Low offensive profile,Downgraded archetype,2,0.4,TRUE
40,40+,Power-based,Power-based,Same archetype,2,0.4,TRUE
