batter,season,oaa
434158,2017,-3
544369,2017,-8
545341,2017,6
493329,2017,-1
576397,2017,15
460576,2017,2
571740,2017,11
571745,2017,-1
664023,2017,-2
429666,2017,5
547180,2017,-6
543281,2017,2
452104,2017,0
592387,2017,-12
588751,2017,5
628338,2017,11
514917,2017,-4
571771,2017,-1
491676,2017,6
546318,2017,11
518792,2017,8
543305,2017,3
543333,2017,-5
578428,2017,5
542255,2017,18
430945,2017,-10
571830,2017,-3
459964,2017,1
592450,2017,11
461314,2017,-17
596146,2017,9
595281,2017,12
435079,2017,11
543401,2017,-2
571875,2017,-6
518934,2017,20
596019,2017,13
446334,2017,3
476704,2017,6
553988,2017,-1
592518,2017,-6
543484,2017,2
641820,2017,-7
622534,2017,10
455976,2017,-2
606466,2017,1
502110,2017,-6
408045,2017,11
457727,2017,4
608577,2017,-4
457705,2017,-3
474568,2017,4
593160,2017,2
543543,2017,-6
660162,2017,-3
519048,2017,4
489149,2017,-4
600301,2017,-4
519058,2017,-2
502517,2017,-14
571976,2017,-5
456488,2017,-13
596059,2017,4
572008,2017,-7
542303,2017,0
605412,2017,-5
467827,2017,3
456030,2017,1
452254,2017,-4
460060,2017,-4
444482,2017,0
606299,2017,3
502054,2017,7
408252,2017,-10
607680,2017,-1
640461,2017,-3
461858,2017,-3
570256,2017,-1
593871,2017,0
572041,2017,-1
624577,2017,-2
541650,2017,4
608070,2017,8
502210,2017,3
543685,2017,4
592669,2017,-1
408314,2017,-11
448602,2017,-5
595375,2017,2
519203,2017,8
621002,2017,1
500743,2017,1
461865,2017,-3
489267,2017,-4
642708,2017,-6
592696,2017,-3
608365,2017,18
573135,2017,6
467793,2017,9
570267,2017,-6
593934,2017,-2
594988,2017,1
570731,2017,6
608369,2017,3
572122,2017,10
516416,2017,1
543760,2017,-8
543768,2017,14
592743,2017,20
475253,2017,3
519299,2017,3
500208,2017,1
519306,2017,7
452655,2017,-10
605486,2017,-9
543807,2017,-3
519317,2017,0
596115,2017,7
543829,2017,-4
553993,2017,5
621020,2017,-5
570560,2017,6
621035,2017,1
572191,2017,9
519346,2017,-4
591720,2017,4
545361,2017,-4
453064,2017,-2
457759,2017,3
607208,2017,1
457708,2017,-2
400284,2017,-6
472528,2017,-1
502143,2017,2
542340,2017,1
458015,2017,-1
435522,2017,-1
543939,2017,-3
592885,2017,0
605548,2017,0
475582,2017,-4
450314,2017,-3
547989,2018,-3
660670,2018,3
642715,2018,-8
501303,2018,6
542583,2018,0
605113,2018,34
645277,2018,11
656185,2018,3
546991,2018,12
475174,2018,-8
514888,2018,6
605119,2018,-3
641313,2018,8
462101,2018,2
609280,2018,-8
606115,2018,8
571448,2018,12
664056,2018,18
641343,2018,-6
430832,2018,-7
542921,2018,-8
605137,2018,-1
641355,2018,4
474832,2018,2
