season,ev_p90_hi,ev_p90_elite,hard_hit_hi,barrel_hi,xwoba_hi,chase_low,chase_high,zone_contact_hi,out_zone_contact_hi,whiff_low,whiff_high,sprint_hi,sprint_low,oaa_hi,oaa_low
2015,103.82339999999999,106.42900000000002,0.3506586429443572,0.06555037767251312,0.3202473913235294,0.26019688134199914,0.3189781297134239,0.8899314606741573,0.6746108965403895,0.19500466151393941,0.25327456343362087,27.7,26.461,NA,NA
2016,103.1681,105.649,0.28551058135704876,0.07293060785368477,0.3245969204345461,0.2554131618010886,0.310045251396648,0.8820592292751992,0.6666666666666666,0.19787061920556268,0.2560913154953652,27.8,26.4,4,-2
2017,102.5966,105.273,0.257923779574723,0.07066414141414142,0.32792263040268504,0.24324088602624055,0.29922009065889593,0.8673053665910808,0.6583871676554605,0.20650268902246124,0.26506024096385544,27.8,26.5,3,-3
2018,102.818,105.36,0.2717845117845118,0.07769408031430622,0.324231884213628,0.24644115210689987,0.30638525498891356,0.8696744214767587,0.6339328277356447,0.21488677777823023,0.27236351141195303,27.816000000000003,26.5,3,-3
2019,103.22480000000002,105.6,0.2804598718364057,0.08858997050147494,0.32917617774038954,0.2610702341137124,0.31658976582827403,0.8635369894750573,0.6258976815481893,0.22553196195531963,0.28357770802829063,27.8,26.4,3,-2.4799999999999898
2020,102.7061,104.94800000000001,0.2702702702702703,0.09382623957876264,0.3321862022884403,0.24555584415584417,0.3058823529411765,0.8611111111111112,0.6218226763348714,0.2234345107846202,0.2923076923076923,27.5,26.3,2,-1
2021,102.5397,105.012,0.2511005402936457,0.08954957356076759,0.3214249836083759,0.2510648919573804,0.30522088353413657,0.858972850678733,0.6128944121276221,0.22384735490153285,0.2771062737003792,27.895000000000003,26.5,3,-2
2022,102.5,104.53999999999999,0.25,0.08951462201189175,0.31553119138205926,0.2604586063132817,0.3191623618883628,0.8661066947971217,0.6264326335143455,0.21439372822299652,0.27235489500647414,27.9,26.6,3,-3
2023,102.7,105.025,0.2585238222868885,0.09220403709765411,0.32273867508939447,0.2573318745243014,0.31224251951431053,0.8643697642704071,0.6157947019867549,0.2193271340026437,0.2808570968798033,28,26.7,3,-2
2024,102.44000000000001,104.88000000000001,0.25,0.08977035490605428,0.31568505812837955,0.2576853526220615,0.31,0.867741935483871,0.6078431372549019,0.21568627450980393,0.2735294117647059,28,26.8,3,-2
